#################
# FRESCO HA emitter catalogue v1
# root: GOODS fields identifier: fresco-only-n-v2 and fresco-only-s-v2 for single-component sources; multigalaxies-GN and multigalaxies-GS for multi-component sources
# id: ID from the FRESCO grizli data reduction v7.3
# multi_ids: for multi-component galaxies, id number of each component 
# ra, dec: coordinates of the source in the F210M+F444W image from the FRESCO grizli data reduction v7.3 (also see further Weibel+2024)
# q_mean : Visual inspection quality flag, averaged over 4 inspections
# z : redshift of the HA emitter
# flux_HA, err_HA : grizli best-fit line flux and error using a fixed redshift in cgi units [erg/s/cm**2]
# Muv, Muv_err: rest-frame absolute UV magnitude [AB] and error from the fluxes of filters that lay on the rest-frame UV
# flux_det_img, flux_det_img_err: combined F444W+F210M flux and error in nJy from the FRESCO grizli data reduction v7.3. PSF-matched, aperture-corrected fluxes and errors with 5% error floor (also see further Weibel+2024 for details on the imaging data reduction)
#################
# root id multi_ids ra dec q_mean z flux_HA err_HA Muv Muv_err flux_det_img flux_det_img_err
fresco-only-n-v2 70 - 189.2209523 62.3317907 3.0 6.572 5.739e-18 3.353e-19 -20.852 0.054 142.085 8.083
fresco-only-n-v2 217 - 189.2384111 62.3271053 3.0 6.304 7.790e-18 4.220e-19 -21.120 0.056 227.536 8.438
fresco-only-n-v2 241 - 189.2151653 62.3268616 3.0 5.671 2.986e-18 2.062e-19 -20.140 0.104 82.671 6.532
fresco-only-n-v2 500 - 189.2122787 62.3208983 2.0 5.397 5.110e-18 2.771e-19 -19.726 0.078 64.762 6.590
fresco-only-n-v2 809 - 189.2530215 62.3161734 3.0 5.488 5.810e-18 2.900e-19 -19.733 0.090 132.156 5.426
fresco-only-n-v2 1324 - 189.1781523 62.3106307 3.0 6.569 4.006e-18 3.347e-19 -19.648 0.065 64.609 4.887
fresco-only-n-v2 1647 - 189.1630354 62.3075995 1.75 5.417 3.874e-18 1.703e-19 -19.824 0.065 73.361 7.029
fresco-only-n-v2 1716 - 189.1654947 62.3068868 2.75 5.192 5.087e-18 2.880e-19 -20.773 0.054 201.201 10.036
fresco-only-n-v2 1846 - 189.1665565 62.3056056 3.0 5.194 1.064e-17 3.401e-19 -20.395 0.054 392.336 8.851
fresco-only-n-v2 1849 - 189.172155 62.3056371 3.0 5.588 3.776e-18 2.234e-19 -19.690 0.144 58.169 5.616
fresco-only-n-v2 2432 - 189.1891288 62.3006564 3.0 5.657 2.401e-18 2.129e-19 -20.084 0.054 80.247 5.128
fresco-only-n-v2 2542 - 189.195542 62.2998540 1.75 5.553 1.438e-18 2.254e-19 -18.690 0.129 41.947 5.600
fresco-only-n-v2 2895 - 189.18794 62.2972204 3.0 5.452 1.881e-18 2.513e-19 -19.146 0.088 36.397 4.632
fresco-only-n-v2 2989 - 189.1729693 62.2964851 1.75 5.543 2.254e-18 3.772e-19 -20.547 0.086 153.802 9.910
fresco-only-n-v2 3375 - 189.1318525 62.2935733 2.0 5.306 2.721e-18 2.037e-19 -18.995 0.064 42.740 5.544
fresco-only-n-v2 3549 - 189.1793075 62.2925350 3.0 5.359 1.249e-17 3.014e-19 -20.261 0.054 259.126 6.493
fresco-only-n-v2 3802 - 189.1151052 62.2908070 2.5 6.006 3.045e-18 1.798e-19 -20.156 0.054 66.364 4.879
fresco-only-n-v2 3814 - 189.1219542 62.2910054 3.0 5.301 2.536e-18 2.716e-19 -19.883 0.134 131.096 10.703
fresco-only-n-v2 3869 - 189.1400422 62.2918254 3.0 5.591 3.542e-18 3.903e-19 -20.320 0.068 153.609 10.813
fresco-only-n-v2 4199 - 189.2827986 62.2890439 3.0 4.999 2.236e-18 2.644e-19 -19.114 0.123 41.025 3.101
fresco-only-n-v2 4332 - 189.1597988 62.2879589 2.75 5.275 2.632e-18 3.001e-19 -19.753 0.070 63.524 6.481
fresco-only-n-v2 4427 - 189.2845488 62.2874733 3.0 5.948 3.427e-18 3.887e-19 -20.244 0.054 103.463 5.707
fresco-only-n-v2 4581 - 189.1310022 62.2868334 3.0 5.269 4.494e-18 3.444e-19 -19.593 0.099 178.299 7.507
fresco-only-n-v2 4823 - 189.2359577 62.2855460 2.25 5.194 2.954e-18 2.274e-19 -18.883 0.095 77.525 5.218
fresco-only-n-v2 5107 - 189.1088246 62.2842242 3.0 4.934 3.980e-18 3.518e-19 -19.547 0.077 73.438 6.594
fresco-only-n-v2 5423 - 189.2542173 62.2829777 2.0 5.966 1.639e-18 3.434e-19 -20.288 0.111 118.737 6.678
fresco-only-n-v2 5896 - 189.2855264 62.2807718 2.0 5.087 3.870e-18 2.245e-19 -18.064 0.082 132.760 3.546
fresco-only-n-v2 6332 - 189.1807358 62.2822401 2.75 5.184 8.085e-18 3.412e-19 -20.162 0.055 177.812 7.179
fresco-only-n-v2 6371 - 189.1968586 62.2788883 3.0 5.775 1.417e-18 2.164e-19 -18.946 0.282 23.686 3.410
fresco-only-n-v2 6558 - 189.1151667 62.2781258 2.5 5.492 2.052e-18 2.296e-19 -18.966 0.442 30.003 5.475
fresco-only-n-v2 6583 - 189.1115103 62.2779519 3.0 5.636 4.839e-18 3.322e-19 -20.060 0.077 131.415 6.363
fresco-only-n-v2 6732 - 189.2962727 62.2773734 3.0 5.194 1.529e-17 4.544e-19 -20.848 0.067 391.791 6.511
fresco-only-n-v2 6761 - 189.1697998 62.2772980 2.5 5.186 4.656e-18 4.192e-19 -20.905 0.054 354.524 8.593
fresco-only-n-v2 6840 - 189.1696462 62.2770636 1.75 5.188 3.049e-18 2.954e-19 -19.101 0.100 60.271 5.591
fresco-only-n-v2 7193 - 189.3071792 62.2758575 3.0 5.197 3.187e-18 2.788e-19 -18.957 0.074 42.662 4.468
